freq_Hz,amplitude_MPa
0.0,0.058500404084606904
0.0014730670028525342,0.05536054307704835
0.0029461340057050684,0.03609646404585718
0.004419201008557603,0.03502545808486929
0.005892268011410137,0.06744097074111943
0.007365335014262671,0.07869239171873747
0.008838402017115205,0.0361712366318172
0.01031146901996774,0.04609006760744675
0.011784536022820273,0.09229675695448956
0.013257603025672807,0.14919068922346124
0.014730670028525341,0.10078539183471051
0.016203737031377875,0.12819766347025874
0.01767680403423041,0.1292514736270443
0.019149871037082943,0.09140919730535337
0.02062293803993548,0.0775565484805495
0.02209600504278801,0.12798306395499148
0.023569072045640547,0.04711315215110519
0.025042139048493083,0.062394781423747894
0.026515206051345615,0.1186212045862566
0.02798827305419815,0.2294529919477809
0.029461340057050683,0.17694416912445374
0.03093440705990322,0.06325800782227264
0.03240747406275575,0.10585543958197517
0.03388054106560828,0.06063040456951123
0.03535360806846082,0.09882178557612648
0.036826675071313354,0.08378048124030267
0.038299742074165886,0.08514872007003199
0.039772809077018426,0.061041199247327524
0.04124587607987096,0.08364077402538579
0.04271894308272349,0.09950761580183913
0.04419201008557602,0.027555001044561822
0.04566507708842856,0.06037772281090623
0.047138144091281094,0.04671903648061775
0.048611211094133626,0.0450958302815844
0.050084278096986165,0.09397675920730737
0.0515573450998387,0.17254620565590437
0.05303041210269123,0.11429016731259935
0.05450347910554376,0.07699292778962216
0.0559765461083963,0.10884931455859764
0.05744961311124883,0.14783643315060885
0.058922680114101365,0.13189061409211023
0.060395747116953905,0.04620708278641518
0.06186881411980644,0.07469969187027313
0.06334188112265897,0.05456197072357494
0.0648149481255115,0.08628617779780255
0.06628801512836403,0.002614716958293088
0.06776108213121657,0.0964699299689842
0.06923414913406911,0.08182227147424512
0.07070721613692164,0.060055359729831614
0.07218028313977418,0.08223945242488992
0.07365335014262671,0.15864653050650285
0.07512641714547924,0.11246677499006814
0.07659948414833177,0.017876224245984607
0.0780725511511843,0.07259552072131335
0.07954561815403685,0.1488099988396905
0.08101868515688938,0.15690727473164995
0.08249175215974192,0.07980272040445612
0.08396481916259445,0.07227162547380606
0.08543788616544698,0.0486650988321171
0.08691095316829951,0.029259786607470452
0.08838402017115204,0.03973835894578777
0.08985708717400459,0.046151760616627555
0.09133015417685712,0.07041125132973862
0.09280322117970966,0.10818226692211946
0.09427628818256219,0.048622757098546514
0.09574935518541472,0.0878757325566479
0.09722242218826725,0.02482194955761357
0.09869548919111978,0.12086333393460595
0.10016855619397233,0.11520869122689896
0.10164162319682486,0.06734204346966756
0.1031146901996774,0.046697371609042644
0.10458775720252993,0.018814204179648627
0.10606082420538246,0.047174510094791865
0.10753389120823499,0.06860647233152899
0.10900695821108752,0.10582024010628491
0.11048002521394007,0.0838272606365936
0.1119530922167926,0.06973892331194687
0.11342615921964513,0.10464260263567368
0.11489922622249767,0.09865893045673724
0.1163722932253502,0.20776617845604287
0.11784536022820273,0.20585391165714415
0.11931842723105526,0.09618863348939394
0.12079149423390781,0.20158666216268328
0.12226456123676034,0.13738860964297983
0.12373762823961287,0.08175389777665282
0.1252106952424654,0.03631780415462111
0.12668376224531794,0.06640842420924126
0.12815682924817048,0.0661342609613529
0.129629896251023,0.05004579292731686
0.13110296325387555,0.043984429579397
0.13257603025672807,0.08408290154649223
0.1340490972595806,0.07134828042499261
0.13552216426243313,0.038862946098306525
0.13699523126528568,0.08787016646900904
0.13846829826813822,0.11842460803801691
0.13994136527099074,0.01867309920177857
0.1414144322738433,0.04184979576802786
