stress_range_MPa,N_DNV_RP_C203,N_Basquin
5.0,217345162437.49957,2.3610363706464895e+22
6.984924623115578,40849936030.340675,1.1302589492965181e+21
8.969849246231156,11696994341.302406,1.163301575568003e+20
10.954773869346734,4305096730.856555,1.889884606444354e+19
12.939698492462313,1872316286.9250424,4.158857280569551e+18
14.924623115577889,917240316.3922341,1.1363878960795963e+18
16.90954773869347,491292392.46368396,3.652070491856173e+17
18.894472361809044,282050034.64707667,1.3314721711391677e+17
20.879396984924625,171163138.58105507,5.369570134555107e+16
22.8643216080402,108694707.64472893,2.3517476265781856e+16
24.849246231155778,71685926.46031603,1.1033411399543648e+16
26.834170854271356,8628503.073646232,5486571897198402.0
28.819095477386934,6965606.913819076,2867834719360356.0
30.804020100502512,5703977.525631833,1565239920039997.8
32.78894472361809,4729526.695949085,887227682680687.4
34.77386934673367,3964979.49650839,519977283442103.25
36.75879396984925,3356728.6694489405,313919713187541.2
38.743718592964825,2866791.413885593,194617456622748.75
40.7286432160804,2467744.38084882,123572382117566.36
42.71356783919598,2139451.5312001132,80176951820152.45
44.698492462311556,1866901.3595282875,53053364970703.414
46.68341708542714,1638747.6701399114,35741242628627.22
48.66834170854271,1446306.5534424665,24477691460677.438
50.653266331658294,1282855.182208428,17019391496830.38
52.63819095477387,1143133.979572925,12000102119051.533
54.62311557788945,1022988.1357988084,8571245206434.554
56.608040201005025,919106.084285139,6196119865989.399
58.59296482412061,828826.4039595536,4529528044109.913
60.57788944723618,749993.6478226635,3345951497251.4414
62.56281407035176,680849.5816323566,2495901770847.671
64.54773869346734,619950.3412904522,1878933955385.3577
66.53266331658293,566102.7621529422,1426693949483.0862
68.5175879396985,518315.0297443742,1092108416849.9349
70.50251256281408,475758.12745165225,842394442136.4958
72.48743718592965,437735.4947267969,654479337627.7651
74.47236180904522,403658.9798508732,511962231795.17975
76.4572864321608,373029.6554746122,403074777714.55585
78.44221105527639,345422.4180611786,319297267278.6306
80.42713567839196,320473.5518922562,254409665480.59393
82.41206030150754,297870.63077614905,203834419062.96817
84.39698492462311,277344.27448178054,164177042450.46198
86.3819095477387,258661.38529684648,132902088281.80168
88.36683417085428,241619.57232207028,108102661674.23573
90.35175879396985,226042.53390724154,88335144917.42383
92.33668341708542,211776.21690707537,72499767444.54152
94.32160804020101,198685.60877378588,59753667932.89226
96.30653266331659,186652.04755537765,49447162928.16975
98.29145728643216,175570.95760053967,41076712647.37398
100.27638190954774,165349.93665347062,34249985503.421562
102.26130653266331,155907.1341619716,28659748759.107986
104.2462311557789,147169.87185819415,24064239770.731926
106.23115577889448,139073.46664211372,20272325280.57591
108.21608040201005,131560.2229924198,17132219443.841774
110.20100502512562,124578.56792484324,14522862120.826534
112.18592964824121,118082.30620571802,12347296808.97648
114.17085427135679,112029.97733573122,10527559651.984772
116.15577889447236,106384.29892280472,9000716192.291004
118.14070351758794,101111.6836031856,7715774208.836741
120.12562814070353,96181.8187560269,6631268471.695433
122.1105527638191,91567.2999761073,5713363199.527351
124.09547738693468,87243.31069108428,4934355174.476724
126.08040201005025,83187.34148918014,4271488264.4527216
128.06532663316585,79378.94370476413,3706010990.1015286
130.0502512562814,75799.51262861506,3222424544.174144
132.035175879397,72432.0963955729,2807880632.3954353
134.02010050251258,69261.2271781178,2451697617.45835
136.00502512562815,66272.77179920064,2144970419.6692116
137.98994974874373,63453.79928682005,1880254984.0490859
139.9748743718593,60792.46323913248,1651312255.3022063
141.95979899497488,58277.8971626452,1452899801.445668
143.94472361809045,55900.12119588341,1280601713.7747593
145.92964824120602,53649.95884389981,1130689350.9957078
147.9145728643216,51518.96253094557,1000007014.3883679
149.8994974874372,49499.34693444789,885877834.2993487
151.88442211055278,47583.92919714461,786026089.0606136
153.86934673366835,45766.07522921316,698512921.4936253
155.85427135678393,44039.65141132038,621683008.5094335
157.8391959798995,42398.981095066905,554120209.159456
159.82412060301507,40838.80537132002,494610591.5582974
161.80904522613065,39354.24764107269,442111539.38810414
163.79396984924622,37940.78157917284,395725879.8015248
165.7788944723618,36594.20212972256,354680168.6712915
167.7638190954774,35310.59921417121,318306425.8669408
169.74874371859298,34086.33386998645,286026740.11391544
171.73366834170855,32918.016570009946,257340265.96104613
173.71859296482413,31802.487500833777,231812219.16409296
175.7035175879397,30736.79860328247,209064545.12963027
177.68844221105527,29718.19719984081,188767990.93666223
179.67336683417085,28744.111052998138,170635357.24346307
181.65829145728642,27812.13471534138,154415744.00006694
183.64321608040203,26920.01704710929,139889634.85222474
185.6281407035176,26065.649790062966,126864690.67126524
187.61306532663318,25247.05709816529,115172143.76890981
189.59798994974875,24462.385935866725,104663701.85941805
191.58291457286433,23709.89726394059,95208885.3639801
193.5678391959799,22987.95794093712,86692733.74249814
195.55276381909547,22295.033275548984,79013826.6159971
197.53768844221105,21629.680171620505,72082573.85991535
199.52261306532662,20990.540813268453,65819735.89145429
201.50753768844223,20376.336842706554,60155141.27820112
203.4924623115578,19785.863987946315,55026573.7534836
205.47738693467338,19217.98710163954,50378804.895249985
207.46231155778895,18671.635576002875,46162752.240658
209.44723618090453,18145.799102052373,42334745.57618794
211.4321608040201,17639.523744331254,38855886.65248904
213.41708542713567,17151.908304970035,35691489.69855149
215.40201005025125,16682.100953305693,32810591.912809037
217.38693467336685,16229.296099436822,30185524.64072495
219.37185929648243,15792.731492032042,27791537.252055127
221.356783919598,15371.685522455651,25606466.842010904
223.34170854271358,14965.47471885693,23610447.82883654
225.32663316582915,14573.451415294385,21785656.33087536
227.31155778894473,14195.001582260835,20116084.900031485
229.2964824120603,13829.542806144229,18587343.78327545
231.28140703517587,13476.522406219401,17186485.394352097
233.26633165829145,13135.415678727732,15901849.116650444
235.25125628140705,12805.724258477292,14722923.935859691
237.23618090452263,12486.974589187052,13640226.726509169
239.2211055276382,12178.716494523453,12645194.29734442
241.20603015075378,11880.521842432248,11730087.543149842
243.19095477386935,11591.983295969836,10887906.260545043
245.17587939698493,11312.713144381936,10112313.367097348
247.1608040201005,11042.342208676537,9397567.420757813
249.14572864321607,10780.51881639282,8738462.473510586
251.13065326633168,10526.907840682157,8130274.412104293
253.11557788944725,10281.189799198837,7568713.042269007
255.10050251256283,10043.06000864436,7049879.263017695
257.0854271356784,9812.227791127862,6570226.756294928
259.070351758794,9588.41572879808,6126527.685914165
261.05527638190955,9371.358963467757,5715841.959752535
263.04020100502515,9160.804538198785,5335489.661691177
265.0251256281407,8956.510778040645,4983026.3057891335
267.0100502512563,8758.246707322089,4656220.605507602
268.99497487437185,8565.791501086904,4353034.486196063
270.97989949748745,8378.933968438772,4071605.1001444575
272.964824120603,8197.47206572294,3810228.630848249
274.9497487437186,8021.212437619374,3567345.6971988506
276.9346733668342,7849.969984360613,3341528.189515384
278.91959798994975,7683.567453412418,3131467.388031267
280.90452261306535,7521.835054072993,2935963.2309532105
282.8894472361809,7364.610093553562,2753914.61379078
284.8743718592965,7211.736633202285,2584310.6145471917
286.85929648241205,7063.065163626547,2426222.5507729086
288.84422110552765,6918.452297552042,2278796.784590576
290.8291457286432,6777.760479337316,2141248.2007608386
292.8140703517588,6640.85771013403,2012854.2908091405
294.7989949748744,6507.617287751739,1892949.783294524
296.78391959798995,6377.917560347484,1780921.766576416
298.76884422110555,6251.641693119578,1676205.2560173539
300.7537688442211,6128.677447238051,1578279.162528372
302.7386934673367,6008.916970294339,1486662.6237904122
304.72361809045225,5892.25659759963,1400911.663432095
306.70854271356785,5778.596663703626,1320616.1469655964
308.6934673366834,5667.8413235466915,1245397.0064271772
310.678391959799,5559.898382694452,1174903.7084788107
312.6633165829146,5454.6791361394335,1108811.9432404116
314.64824120603015,5352.098215186598,1046821.5133709551
316.63316582914575,5252.073441969285,988654.4049308352
318.6180904522613,5154.525691170428,934053.0233627575
320.6030150753769,5059.37875855043,882778.5795470886
322.58793969849245,4966.55923590649,834609.6123403861
324.57286432160805,4875.996392112106,789340.6353103174
326.5577889447236,4787.622059905867,746780.8965526319
328.5427135678392,4701.370528118882,706753.2415300432
330.5276381909548,4617.178439048796,669093.0698216169
332.51256281407035,4534.984690705289,633647.3775253897
334.49748743718595,4454.730343668725,600273.8778266427
336.4824120603015,4376.358532318266,568840.1929381224
338.4673366834171,4299.814380200368,539223.1112444571
340.45226130653265,4225.044919321449,511307.90404812567
342.43718592964825,4151.999013161441,484987.69682468136
344.42211055276385,4080.627283216251,460162.8903562694
346.4070351758794,4010.8820388880986,436740.62752957514
348.391959798995,3942.7172105531736,414634.30196184857
350.37688442211055,3876.0882856455596,393763.10496038146
352.36180904522615,3810.9522476051684,374051.60763039853
354.3467336683417,3747.267517546338,355429.37522696966
356.3316582914573,3684.9938985113704,337830.61110102164
358.31658291457285,3624.0925221807597,321193.8278205122
360.30150753768845,3564.5257979191474,305461.54325746745
362.28643216080405,3506.2573640422834,290579.99962210754
364.2713567839196,3449.252041196882,276498.9035983824
366.2562814070352,3393.475787750643,263171.18589270307
368.24120603015075,3338.8956570956007,250552.7786509042
370.22613065326635,3285.4797567729584,238602.40932887423
372.2110552763819,3233.197209332407,227281.40972109043
374.1959798994975,3182.018114843513,216553.53895951074
376.18090452261305,3131.913514981412,206384.81939398844
378.16582914572865,3082.8553586123285,196743.38435537455
380.15075376884425,3034.8164688094244,187599.3368846479
382.1356783919598,2987.7705112318786,178924.61858641406
384.1206030150754,2941.691963804557,170692.88783365098
386.10552763819095,2896.556087638185,162879.40661321362
388.09045226130655,2852.338899133254,155460.93535886653
