viv_coupling,xi_extrema
0.2,0.17382026483269153
0.2,0.16971520459908823
0.2,0.16261508398159075
0.2,0.15929807575721897
0.2,0.16806964115875284
0.2,0.16280060979556193
0.2,0.16274240985278177
0.2,0.15972169277796938
0.2,0.15735390266716898
0.2,0.15719865538749406
0.2,0.15942007906785072
0.2,0.17104331732720132
0.2,0.17018327528848912
0.2,0.16276554442205574
0.2,0.17276341791959782
0.2,0.15965656726840335
0.2,0.16974703719116094
0.2,0.1668933898000266
0.2,0.17287105255369092
0.2,-0.16501795776250042
0.2,-0.17591168928557133
0.2,-0.16074282090315817
0.2,-0.16861012471642683
0.2,-0.16692990134512142
0.2,-0.1743435811396226
0.2,-0.16950280642745633
0.2,-0.15830967623544784
0.2,-0.15159622383875673
0.2,-0.1571246006667918
0.2,-0.15984195900867615
0.2,-0.16493596145743722
0.2,-0.17647044812386156
0.2,-0.1701734210582359
0.2,-0.17015244315995529
0.2,-0.1669848048467275
0.2,-0.165896942089485
0.2,-0.171281075930942
0.2,-0.17580409659568685
0.2,-0.16813291024813432
0.26153846153846155,0.23254461774489368
0.26153846153846155,0.2269294715701681
0.26153846153846155,0.23435574588867475
0.26153846153846155,0.23491517912810436
0.26153846153846155,0.22802256415673794
0.26153846153846155,0.23174380906156297
0.26153846153846155,0.244333889833505
0.26153846153846155,0.24405398239808593
0.26153846153846155,0.24147900291558763
0.26153846153846155,0.2272030457949779
0.26153846153846155,0.22326958231482807
0.26153846153846155,0.22720818603699813
0.26153846153846155,0.22320340535539393
0.26153846153846155,0.232103795213556
0.26153846153846155,0.23025362332332105
0.26153846153846155,0.2408190955105293
0.26153846153846155,0.24719177701483344
0.26153846153846155,0.23610441838017543
0.26153846153846155,0.22632223831534262
0.26153846153846155,-0.2403848253771443
0.26153846153846155,-0.22406419166271108
0.26153846153846155,-0.22590179096121596
0.26153846153846155,-0.2325988736916945
0.26153846153846155,-0.22564541733179858
0.26153846153846155,-0.22997719975562178
0.26153846153846155,-0.24242271862461523
0.26153846153846155,-0.24320569955311405
0.26153846153846155,-0.24723693841167163
0.26153846153846155,-0.23327596181451418
0.26153846153846155,-0.21752198378643467
0.26153846153846155,-0.23418944509111078
0.26153846153846155,-0.22927514043544023
0.26153846153846155,-0.21755479290712013
0.26153846153846155,-0.23337500609648748
0.26153846153846155,-0.24340773058831958
0.26153846153846155,-0.2369851118384492
0.26153846153846155,-0.24468723832785513
0.26153846153846155,-0.2322538527412549
0.3230769230769231,0.3384192921028578
0.3230769230769231,0.35705016376864895
0.3230769230769231,0.35401711836450594
0.3230769230769231,0.32667742795654797
0.3230769230769231,0.33736679803947156
0.3230769230769231,0.34051000837692247
0.3230769230769231,0.32561889625970725
0.3230769230769231,0.31444233621051315
0.3230769230769231,0.31577865021993884
0.3230769230769231,0.3077646186638666
0.3230769230769231,0.3177627505577184
0.3230769230769231,0.34731166994015616
0.3230769230769231,0.35352769068327067
0.3230769230769231,0.331231877012134
0.3230769230769231,0.34177737227126154
0.3230769230769231,0.33610726553406806
0.3230769230769231,0.34448680104504
0.3230769230769231,0.31083424354681505
0.3230769230769231,0.30101373904121775
0.3230769230769231,-0.3495272542934877
0.3230769230769231,-0.36140576080040177
0.3230769230769231,-0.34851344820944413
0.3230769230769231,-0.3277022160460075
0.3230769230769231,-0.3236883978489479
0.3230769230769231,-0.3356390588575001
0.3230769230769231,-0.3121351530724649
0.3230769230769231,-0.31942441581415876
0.3230769230769231,-0.3102034735461391
0.3230769230769231,-0.30046535974669286
0.3230769230769231,-0.33175549273100446
