stress_range_MPa,cycles
2.5806157057908155,0.0
7.741847117372446,0.0
12.903078528954076,0.0
18.064309940535708,0.0
23.22554135211734,0.5
28.38677276369897,0.0
33.548004175280596,0.0
38.709235586862235,0.5
43.87046699844386,0.0
49.0316984100255,0.5
54.19292982160712,0.0
59.354161233188755,0.5
64.51539264477039,0.0
69.67662405635201,0.5
74.83785546793365,0.0
79.99908687951529,0.5
85.1603182910969,0.0
90.32154970267854,1.0
95.48278111426018,1.5
100.6440125258418,7.5
105.80524393742343,57.0
110.96647534900507,205.5
116.1277067605867,167.5
121.28893817216832,70.0
126.45016958374995,16.5
