peak_n,peak_n1
27.725931755097733,38.079777424493216
38.079777424493216,44.716540952491265
44.716540952491265,47.458910753632225
47.458910753632225,50.14048723305085
50.14048723305085,50.98379004121407
50.98379004121407,53.23774495805115
53.23774495805115,52.315341502698814
52.315341502698814,51.81258960808591
51.81258960808591,56.65860281375442
56.65860281375442,55.48074522923226
55.48074522923226,55.72821591403525
55.72821591403525,55.9026962905851
55.9026962905851,54.42993950467657
54.42993950467657,55.41777061896657
55.41777061896657,56.24018630331063
56.24018630331063,61.19605940434532
61.19605940434532,60.50526390809866
60.50526390809866,58.93649439993432
58.93649439993432,59.88601312331167
59.88601312331167,56.72939304594554
56.72939304594554,54.66359798965737
54.66359798965737,55.30768511015398
55.30768511015398,55.618494059163964
55.618494059163964,55.24585023987992
55.24585023987992,53.3366840012808
53.3366840012808,54.11693258534853
54.11693258534853,52.594102656185704
52.594102656185704,56.13056514278131
56.13056514278131,58.94432238467453
58.94432238467453,59.34149727029027
59.34149727029027,58.82725816795046
58.82725816795046,57.70120872502242
57.70120872502242,57.396366534269816
57.396366534269816,58.58007472259056
58.58007472259056,56.08675322230368
56.08675322230368,54.72100346406312
54.72100346406312,55.96549788139393
55.96549788139393,56.10463536301657
56.10463536301657,57.70585369397845
57.70585369397845,58.97468619833674
58.97468619833674,61.0332139813572
61.0332139813572,61.559872623176055
61.559872623176055,63.862153599676056
63.862153599676056,60.33396406836631
60.33396406836631,56.618517495399736
56.618517495399736,58.58366886692756
58.58366886692756,57.98873087094432
57.98873087094432,59.69727434839246
59.69727434839246,57.69748692657183
57.69748692657183,58.02339648013318
58.02339648013318,57.631407437359954
57.631407437359954,55.5251382260419
55.5251382260419,54.14079974260435
54.14079974260435,52.71598918723333
52.71598918723333,52.93544436923454
52.93544436923454,52.90116480337949
52.90116480337949,55.62748856587803
55.62748856587803,56.54026078808345
56.54026078808345,59.0069133315615
59.0069133315615,59.68395308094743
59.68395308094743,61.90501137828547
61.90501137828547,60.67356044547021
60.67356044547021,60.248656001731995
60.248656001731995,60.383317915105046
60.383317915105046,60.31364046320317
60.31364046320317,60.48515490785692
60.48515490785692,56.18571655266365
56.18571655266365,56.346118713515025
56.346118713515025,55.59970389352472
55.59970389352472,56.80911270682759
56.80911270682759,56.80793216487862
56.80793216487862,54.84484244707574
54.84484244707574,56.676862016322566
