time_s,bending_MPa
0.0,17.71359115433878
0.10607054746391957,15.862462829597309
0.21214109492783914,10.832102297197663
0.3182116423917587,3.5302170584604307
0.4242821898556783,-5.098740767597607
0.5303527373195979,-13.274724987275707
0.6364232847835174,-19.050574377580546
0.742493832247437,-20.857780892437646
0.8485643797113566,-17.62740187301005
0.9546349271752761,-9.382589350108125
1.0607054746391957,1.9633701479659926
1.1667760221031152,13.636679162053527
1.2728465695670348,22.88184032449695
1.3789171170309544,27.480962763857118
1.484987664494874,26.021034628876627
1.5910582119587935,17.979792149912907
1.6971287594227131,4.887358355298816
1.8031993068866328,-10.007676491008002
1.9092698543505522,-23.200146599820496
2.0153404018144716,-31.634833084352465
2.1214109492783915,-33.18889875732257
2.227481496742311,-26.87642506177847
2.3335520442062303,-13.507354694703066
2.43962259167015,3.6244673694621605
2.5456931391340696,20.398727785790655
2.651763686597989,32.85895624779455
2.757834234061909,38.046904358591526
2.8639047815258283,34.343521602275715
2.969975328989748,21.536929893884583
3.0760458764536676,2.4070184109350996
3.182116423917587,-17.7545007328883
3.288186971381507,-34.08709120064727
3.3942575188454263,-42.779093002782275
3.5003280663093457,-41.55087277385567
3.6063986137732655,-29.820817152897924
3.712469161237185,-10.370318394286581
3.8185397087011044,11.965003360310048
3.9246102561650242,31.465783435041587
4.030680803628943,43.0088099806455
4.1367513510928635,43.727946547007676
4.242821898556783,33.9005081802418
4.348892446020702,15.428997738194473
4.454962993484622,-6.938360028728974
4.561033540948541,-27.859807702833695
4.667104088412461,-42.50732010778453
4.773174635876381,-47.366740500482955
4.8792451833403,-40.846297285175
4.98531573080422,-23.855559311329998
5.091386278268139,-0.9002505741716771
5.197456825732059,22.398763157257935
5.303527373195978,40.20342415250279
5.409597920659898,47.38785799998016
5.515668468123818,42.99761954429817
5.621739015587737,27.540509731405475
5.727809563051657,5.024597604234715
5.833880110515576,-18.726255393676954
5.939950657979496,-37.645741161351275
6.046021205443416,-46.60393839046136
6.152091752907335,-43.53714483408101
6.2581623003712545,-28.307724542013073
6.364232847835174,-5.7992310770413145
6.470303395299093,18.16013666070002
6.576373942763014,37.96042311162151
6.682444490226933,48.97094400834636
6.7885150376908525,48.27586520304852
6.894585585154772,35.30462992442381
7.000656132618691,13.280173282558957
7.106726680082611,-12.119776024936284
7.212797227546531,-34.36498881588157
7.3188677750104505,-47.46184065813068
7.42493832247437,-48.82779003214605
7.531008869938289,-37.909666526188225
7.637079417402209,-16.16464622445983
7.743149964866128,9.836575911607236
7.8492205123300485,33.37862465760142
7.955291059793968,48.01568673672596
8.061361607257886,50.38467203997821
8.167432154721807,40.305658678357
8.273502702185727,18.8804520507118
8.379573249649646,-7.627281791047557
8.485643797113566,-32.29348817860987
8.591714344577484,-48.4930958485426
8.697784892041405,-51.4384299411377
8.803855439505325,-39.978330000155836
8.909925986969244,-17.098362976835844
9.015996534433164,10.350150471884238
9.122067081897082,34.96160288476273
9.228137629361003,50.37649362573859
9.334208176824921,52.47019515437308
9.440278724288842,41.69882688943447
9.546349271752762,20.331751251076007
9.65241981921668,-5.911368727954499
9.7584903666806,-30.628765958046987
9.86456091414452,-48.09643868437703
9.97063146160844,-53.2994042790312
10.07670200907236,-43.706347041071325
10.182772556536278,-22.703276511229266
10.288843104000199,3.8514825389313088
10.394913651464117,29.404069126511413
10.500984198928037,47.126087184559
10.607054746391956,52.15556341765265
10.713125293855876,42.78284908524455
10.819195841319797,21.789761082928145
10.925266388783715,-4.643858031462776
11.031336936247635,-29.605655317818712
11.137407483711554,-46.5280168662019
11.243478031175474,-50.7117460507773
11.349548578639395,-40.743834949642924
11.455619126103313,-19.043507966445652
11.561689673567233,7.887928543953716
11.667760221031152,32.60075102093747
11.773830768495072,48.447861193743286
11.879901315958993,51.06686890455234
11.985971863422911,39.532189331529814
12.092042410886831,16.69085219446072
12.19811295835075,-10.617146660522355
12.30418350581467,-34.975890614991094
12.410254053278589,-50.10080014026751
12.516324600742509,-53.03952048976806
12.62239514820643,-41.94324377979915
12.728465695670348,-18.817936981683236
12.834536243134268,9.209407231826333
12.940606790598187,34.89875735322388
13.046677338062107,52.156551999584245
13.152747885526027,56.40993236164546
13.258818432989946,46.01419636080713
13.364888980453866,22.327711521924115
13.470959527917785,-7.2228229645139574
13.577030075381705,-34.667148138404
13.683100622845624,-52.59390287679588
13.789171170309544,-57.23213653401804
13.895241717773464,-47.55919247509718
14.001312265237383,-25.749633441558405
14.107382812701303,2.311355771678109
14.213453360165222,29.43784158797083
14.319523907629142,48.525571133107526
14.425594455093062,55.47970291611211
14.53166500255698,48.623994138933774
14.637735550020901,29.282467686996057
14.74380609748482,2.3739630534327514
14.84987664494874,-25.020046312837753
14.955947192412658,-46.43592510092296
15.062017739876579,-56.62521511448945
15.168088287340499,-52.82541550327119
15.274158834804417,-35.55787084175051
15.380229382268338,-9.277046454063637
15.486299929732256,18.91984553520641
15.592370477196177,41.86406545121647
15.698441024660097,54.34317249536771
15.804511572124015,53.329105981441806
15.910582119587936,37.669623093507354
16.016652667051854,11.523085576116987
16.122723214515773,-17.138010976407106
16.228793761979695,-41.63926714744477
16.334864309443613,-56.1123704324775
16.440934856907532,-56.8077731490052
16.547005404371454,-43.20202956339241
16.653075951835373,-18.588549679251873
16.75914649929929,10.294553021811916
