xi,q,w,s
0.9447734531218829,-3.9283908048125573,0.0,0.5787311449109122
-0.5892834678650511,5.477523177780893,0.0,2.417385118427685
0.6618923644622872,5.073283320191239,0.0,1.3105600539647488
0.33380609015404306,-5.649613405555226,0.0,3.5807801888305715
0.6069244189029213,-5.718857918140421,0.0,3.1236281053326387
-1.330368877371945,2.096239423213507,0.0,1.7779456664232496
0.5520789922464666,5.403400044206078,0.0,1.8575216022174554
1.3257216614714207,-2.946212037010638,0.0,2.2944315689028905
-0.7810427886121222,-5.224424964906797,0.0,4.976153528262181
-1.352129998054395,-3.870944847868308,0.0,1.3068432084057195
0.5884686641624848,5.462398853106024,0.0,3.5060202545089676
0.013601161659173463,-5.770149443700656,0.0,7.046513348129618
-1.5073854318114595,-0.8402831410916838,0.0,2.8828088983387468
1.5833228839217712,0.20869321350137154,0.0,3.659005251986247
0.20492454429271126,5.772851650484723,6.938893903907228e-18,0.996962180237145
0.9274768421079918,-5.794688436213989,0.0,0.5398865469973824
-0.08158671283724586,5.878468453573005,-2.7755575615628914e-17,1.4744287407326004
1.5710427547981896,1.0885032267789074,0.0,0.271774876509775
0.7560547096079875,5.419982830284909,0.0,1.202059458297373
0.4304215607518338,-5.9157877611090175,0.0,2.4813158743933887
1.4581957202958793,-2.235548258492484,0.0,2.2072501589608695
-0.6719359292198223,-5.51026671258479,0.0,4.19408252797373
0.7702806870472825,5.4351751920102265,-2.7755575615628914e-17,3.918304801356422
-0.9440065397435677,-5.261861480878045,0.0,0.5828860676098414
1.5201055122227505,3.274052294856804,0.0,2.8455158652040544
-1.6311832297655042,-3.051141191515143,0.0,2.905530210750924
1.724055208476821,2.144409914829749,0.0,4.324468498836075
-1.5889608478228636,-3.5848640522577315,0.0,5.212067563782904
0.6097282278523436,-5.992542533158826,0.0,1.3064688051010018
-1.5158719759461938,3.3628690372669694,0.0,3.413928795180651
1.616981819448849,3.488128373324695,1.3877787807814457e-17,4.42406464425218
0.7125869740296268,5.503390742820176,0.0,1.7706816091329796
1.4079284708274162,-4.258125505494713,0.0,1.8903878076937706
-0.8529087221784452,-5.406206679578032,0.0,2.3697468017067647
-1.0103731154941296,5.767690742913076,0.0,6.744424978266706
0.6049778585343476,5.571058421000864,0.0,1.6159737719547043
1.4156271409505217,-3.4130078639847654,0.0,1.1589468206278108
-1.5303098587034742,-3.573764741345595,0.0,1.9300893336288425
-0.40506664395324904,6.002412350342027,0.0,2.6272804903234586
-0.7703103176160832,-5.300041713900135,0.0,1.9071559264766598
-1.2816444959437254,4.702605881662225,0.0,2.5477966823745812
-0.6794693107422188,-5.393559186335254,0.0,2.1844571486230544
-1.2899430794954465,4.519855932587547,1.3877787807814457e-17,4.179269829803675
1.3067604779257997,-4.229811019935688,0.0,3.581812227810699
1.45801312838198,-1.996405320317998,0.0,2.098943573419593
-0.6036459280680123,-5.553584153997359,0.0,3.4789595092789893
-0.25968236554251256,5.884558370470878,0.0,5.7446210390770105
-1.4275792325469978,2.129569914032337,0.0,2.633641654764501
0.722701209632859,-5.893232025777185,0.0,1.9349372718200302
-1.422243702766857,-4.006049723407958,0.0,2.6088970604273314
1.5597249750645499,-2.481876964771203,0.0,1.447422228422803
