Stress,Mean,Std,Max,Min,Range,RMS
Bending,-0.03169199191838037,40.15182233846481,64.68435361419525,-64.33352988699541,129.01788350119065,40.15183484577004
Axial,106.98669985914809,8.195010877962558,125.13586946142759,95.61005531981026,29.52581414161733,107.30010321542736
Torsional,-0.04354335669068479,5.454901602932354,8.766422642468541,-8.734301770691046,17.50072441315959,5.455075391008438
